sale_id,drug_id,hospital_id,sale_date,units_sold,revenue
S000001,D0097,H035,2023-09-02,482,171394.38
S000002,D0048,H023,2025-04-20,594,26563.68
S000003,D0007,H075,2025-11-23,452,132892.52
S000004,D0053,H038,2024-04-23,225,68832.0
S000005,D0101,H011,2024-07-01,254,95366.84
S000006,D0073,H046,2023-03-05,793,257114.39
S000007,D0111,H096,2023-09-10,356,138480.44
S000008,D0011,H010,2023-07-02,241,91666.76
S000009,D0022,H093,2023-05-21,630,235254.6
S000010,D0050,H073,2025-11-20,386,86722.62
S000011,D0056,H010,2025-08-20,846,16420.86
S000012,D0047,H020,2023-07-28,127,21854.16
S000013,D0020,H086,2025-06-02,786,143201.34
S000014,D0009,H041,2025-10-01,294,83055.0
S000015,D0035,H027,2024-10-12,566,215498.84
S000016,D0016,H006,2025-11-22,322,14625.24
S000017,D0007,H002,2025-09-14,846,248732.46
S000018,D0046,H002,2025-07-06,963,152885.88
S000019,D0074,H086,2025-08-18,419,147760.35
S000020,D0085,H039,2024-01-30,784,12418.56
S000021,D0033,H001,2024-12-26,536,25031.2
S000022,D0103,H058,2025-11-11,640,62208.0
S000023,D0115,H084,2023-08-06,212,16572.04
S000024,D0106,H057,2023-10-19,259,118645.31
S000025,D0089,H044,2023-05-06,343,47423.18
S000026,D0087,H007,2024-12-06,341,22103.62
S000027,D0114,H087,2024-01-16,569,19351.69
S000028,D0058,H056,2025-04-10,797,377562.81
S000029,D0067,H077,2023-02-11,846,135393.84
S000030,D0027,H019,2023-05-10,598,174496.4
S000031,D0056,H001,2025-07-06,306,5939.46
S000032,D0067,H056,2024-01-22,638,102105.52
S000033,D0110,H060,2025-04-01,747,237023.1
S000034,D0025,H021,2024-02-11,369,3690.0
S000035,D0055,H049,2024-12-16,564,11353.32
S000036,D0085,H050,2025-08-20,662,10486.08
S000037,D0059,H009,2025-01-21,521,112041.05
S000038,D0016,H004,2024-09-28,443,20121.06
S000039,D0105,H015,2023-03-08,29,11969.75
S000040,D0087,H071,2025-12-10,481,31178.42
S000041,D0085,H011,2024-08-19,821,13004.64
S000042,D0074,H018,2023-02-18,574,202421.1
S000043,D0035,H036,2024-07-28,242,92139.08
S000044,D0118,H091,2025-04-09,810,394551.0
S000045,D0004,H067,2025-11-11,505,107373.1
S000046,D0016,H017,2024-10-13,10,454.2
S000047,D0010,H045,2025-05-28,456,157242.48
S000048,D0066,H078,2025-12-12,321,156054.15
S000049,D0114,H033,2024-09-19,738,25099.38
S000050,D0052,H030,2024-11-04,213,3305.76
S000051,D0058,H066,2023-03-18,786,372351.78
S000052,D0059,H050,2025-01-31,362,77848.1
S000053,D0084,H095,2023-03-12,33,8323.59
S000054,D0009,H046,2024-09-09,77,21752.5
S000055,D0063,H076,2025-11-18,603,163937.61
S000056,D0040,H069,2025-11-26,525,83081.25
S000057,D0040,H065,2023-12-04,738,116788.5
S000058,D0064,H057,2024-03-26,780,334900.8
S000059,D0093,H017,2025-01-10,114,29625.18
S000060,D0100,H056,2025-11-25,560,268312.8
S000061,D0108,H035,2024-03-27,198,53186.76
